stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,wheelchair_boarding,Time between stops for a specific trip
milliken,Milliken,43.82327,-79.30159,Milliken,,,
finch,Finch,43.80261,-79.29168,Finch,,,
agincourt,Agincourt,43.78611,-79.28444,Agincourt,,,
lawrence,Lawrence,43.75034,-79.26994,Lawrence,,,
kennedy,Kennedy,43.7325,-79.2625,Kennedy,,,
danforth,Danforth,43.68667,-79.29917,Danforth,,,
gerrard_carlaw,Gerrard ,43.6674,-79.34263,Gerrard ,,,
east_harbour,East Harbour,43.65449,-79.34829,East_Harbour,,,
union,Union,43.64528,-79.38056,Union,,,
SF,Spadina Fort,43.642198,-79.394641,Spadina_Fort,,,
BL,Bloor GO,43.656928,-79.450192,Bloor,,,
STCL,St Clair Old Weston,43.674671,-79.467213,StCl_West,,,
KLB,King Liberty,43.640924,-79.417212,KLB,,,
MTD, Mount Dennis GO,43.6875,-79.487222,Mount_Dennis,,,
